ds,Most Likely Case,Worst Case,Best Case
2022-12-21,19155.88086931768,13539.020755272371,24869.579838855065
2022-12-22,19140.41323257222,13750.506874454537,24874.900857013836
2022-12-23,19174.134301971393,13635.248700172486,24803.399390102524
2022-12-24,19220.94558591005,13881.884731017615,24145.71467066446
2022-12-25,19241.872656176016,13630.919141435612,24730.481011461805
2022-12-26,19288.21108926931,13635.073322694989,24601.972472070953
2022-12-27,19296.956325009258,14004.98878771602,24279.814943898535
2022-12-28,19357.126337941623,13569.767156189988,24869.439968156952
2022-12-29,19340.86939779163,13661.815041571956,24740.779099538533
2022-12-30,19360.936289071138,14090.501021418297,24821.341996395506
2022-12-31,19380.856848734453,13773.003459182073,24976.145249394573
2023-01-01,19361.580413943633,14022.2209454938,24581.443992897955
2023-01-02,19354.63542257445,14402.922122099106,25040.244772992053
2023-01-03,19297.56534338164,14069.217230375945,24450.395954641426
2023-01-04,19280.249474848795,13683.190821422208,25017.318722707507
2023-01-05,19176.000738685772,13596.349338531814,24697.390869403018
2023-01-06,19099.01990161753,13863.989568159739,24632.184095065393
2023-01-07,19014.54636364139,13491.100048062917,24902.681971745686
2023-01-08,18885.465595854283,13290.654039261519,24172.008382333985
2023-01-09,18765.429163492478,13168.559144081017,24126.25646088729
2023-01-10,18594.24539067606,12629.135440213557,24019.753242548995
2023-01-11,18464.15025130175,12959.663227923329,23999.90159097281
2023-01-12,18250.851797882624,12491.64027243622,23372.45706007257
2023-01-13,18070.928858617932,12779.495286848407,23698.663800047936
2023-01-14,17891.925515409435,12246.599602678612,23044.238978221816
2023-01-15,17678.902862888473,12122.937181570833,23557.405748196485
2023-01-16,17487.505406521355,12349.34878935882,23598.952741137593
2023-01-17,17259.301546562023,11531.835272094742,22734.286653406332
2023-01-18,17088.009053347578,11727.936135493008,22256.80652037634
2023-01-19,16850.500061844385,11693.026170754705,22633.67862939708
2023-01-20,16664.167393694162,11058.238091503219,22153.54758438903
