ds,Most Likely Case,Worst Case,Best Case
2022-12-21,169.83109711859115,160.74637229253221,179.21939543273552
2022-12-22,170.045471634711,161.53069790819833,178.34355135982884
2022-12-23,170.191997565444,161.89042487001223,178.0150877656238
2022-12-24,171.249822612787,162.47569353976058,179.45923993990937
2022-12-25,171.496652640527,162.96427712121357,179.5674447867231
2022-12-26,171.05719453209582,162.38399214379402,179.55839595724458
2022-12-27,171.3026879940252,163.6494508484555,180.3519484497691
2022-12-28,171.52060934309714,162.7458110324695,180.13238760363296
2022-12-29,171.68864075837473,162.49908403562836,180.69039826378926
2022-12-30,171.77076701293598,163.23042126471356,179.91288825992626
2022-12-31,172.74698693004393,164.79923929160236,180.9027613676844
2023-01-01,172.8962825067632,164.64731185220225,180.89158812713677
2023-01-02,172.34503883438637,163.23254996456038,180.06951981572266
2023-01-03,172.4665421250052,163.6758681415027,180.70078422373783
2023-01-04,172.55063960797406,163.79494374795198,181.30669235567854
2023-01-05,172.57765578434788,163.90999859641568,181.1373525086281
2023-01-06,172.5144283176767,164.02548161882743,180.9432279338236
2023-01-07,173.34395229473327,164.30884681176374,181.93190368718942
2023-01-08,173.34827747518162,165.53186920252756,181.98134383621783
2023-01-09,172.65685347929866,164.27784431865445,181.06784635829862
2023-01-10,172.645952138793,163.90800494471335,180.95213365018873
2023-01-11,172.60825273534323,164.32664196883823,180.50451312598656
2023-01-12,172.5266865686574,163.25182310388658,180.98285907626462
2023-01-13,172.37040602628764,163.77805425903935,180.30749683781198
2023-01-14,173.12436867156399,164.1952853941564,180.8704698059411
2023-01-15,173.07218259159728,164.4063689406585,181.1515211516353
2023-01-16,172.34440937297427,163.6347288873851,181.2097323082464
2023-01-17,172.31795510483093,163.8901001487081,180.92731099697087
2023-01-18,172.2856360318418,163.22196004780292,180.87730080266488
2023-01-19,172.23001589415225,163.7969082453834,181.46816258957833
2023-01-20,172.11938040174874,163.15189844196198,180.2307067616276
