ds,Most Likely Case,Worst Case,Best Case
2022-12-29,162.54029998181258,155.93389259172642,168.95298602456464
2022-12-30,162.68556304100372,156.47359035705745,168.9960328246756
2022-12-31,162.70611487743417,156.73023030124935,169.04429220488802
2023-01-01,162.81062870750708,156.67314239210768,169.3665952888418
2023-01-02,162.93322053072245,157.22100489204806,169.20018995379928
2023-01-03,162.9651069500962,156.71928742139903,169.15758116705356
2023-01-04,163.1256910695978,156.43316041305474,169.54127268182296
2023-01-05,163.2610795716103,157.15568319907587,169.9679157301174
2023-01-06,163.3959820686214,157.48677142422923,169.50728366423414
2023-01-07,163.4046817718017,157.08060139341225,169.7264125562988
2023-01-08,163.49554486542073,157.08753019948782,169.6285957191162
2023-01-09,163.60241943086817,157.50247660966718,170.06462227011673
2023-01-10,163.61630907319727,157.10394886372674,169.74860098330225
2023-01-11,163.7564735161687,157.2782918546991,170.1875717208274
2023-01-12,163.8689587007297,157.48393488092898,170.59733505096384
2023-01-13,163.97850695471934,158.22223310690356,170.5327392729167
2023-01-14,163.95953580930905,157.48343263052485,170.42721750069649
2023-01-15,164.02065245917032,157.26523723370948,170.77646765310033
2023-01-16,164.09605440723772,157.90026905436065,170.8132472886917
2023-01-17,164.07720124435752,157.693387689468,170.3999271590485
2023-01-18,164.18390973576268,158.01968115283702,170.59654412220831
2023-01-19,164.26287476896331,157.67218835381942,170.41308218633478
2023-01-20,164.33956686586166,157.6179883435887,171.01166246189683
2023-01-21,164.28919508320496,157.77244525405808,170.19091260512235
2023-01-22,164.32120265529008,158.07192484419053,170.76079842273623
2023-01-23,164.37064637642592,158.35421400778327,171.14223634762243
2023-01-24,164.3298452180794,157.97697240018792,170.5699793002164
2023-01-25,164.4194509707411,157.49781186792475,170.21214243859123
2023-01-26,164.4869441397204,158.20823741701966,170.57927533476013
2023-01-27,164.55850650997715,157.76867247821676,170.79301907416908
