ds,Most Likely Case,Worst Case,Best Case
2022-12-29,121.83116435399971,110.08976262308427,132.81001053475123
2022-12-30,121.84401448114227,110.28238198555904,133.96582957282317
2022-12-31,122.26044431272776,110.77357937267553,133.4660091588408
2023-01-01,122.42029975738686,111.8971549884031,134.72193480280833
2023-01-02,122.42012111423692,110.99908601011006,134.20671392868346
2023-01-03,122.56373951828063,110.78159969470028,134.00117166430394
2023-01-04,122.66187053790158,110.86440873225358,133.65158980197154
2023-01-05,122.76838643792158,110.66851608986329,133.7106724845432
2023-01-06,122.62936929211146,111.35729781683402,133.9863944684581
2023-01-07,122.8770887655767,111.17615625216735,133.55659987816523
2023-01-08,122.85585255390583,111.93777632402687,134.10764788629817
2023-01-09,122.66693725275883,111.22665917413377,133.671802935166
2023-01-10,122.61906029702178,111.88788691879549,133.27703824459735
2023-01-11,122.52784539391322,111.25645395840615,133.97657319295976
2023-01-12,122.45196638213818,111.11990041430802,134.53703885649696
2023-01-13,122.14207512277127,109.98201635204168,132.88806808376296
2023-01-14,122.23466057456876,111.05901823861637,133.29994430177632
2023-01-15,122.07779019303993,110.89754619616468,133.23010931102374
2023-01-16,121.77594431432136,110.55466217831696,133.46052576051943
2023-01-17,121.64040670724555,110.32855249396538,132.44995029224856
2023-01-18,121.48866585070135,109.82634343427547,132.42335466613315
2023-01-19,121.38051353225002,109.86178596683821,132.44897512747076
2023-01-20,121.06694752454156,109.83950105540853,132.86826783869705
2023-01-21,121.18402609978686,110.64484701641196,132.77172079797003
2023-01-22,121.07862557067617,109.4700159756837,132.61942661897646
2023-01-23,120.85331100936342,110.17162434120443,132.67394382084458
2023-01-24,120.81678227535988,109.67560874005423,131.5993901803554
2023-01-25,120.7833483439091,108.98845521311208,132.82978615182944
2023-01-26,120.80911449651235,109.46338240052424,131.4245255580001
2023-01-27,120.64098668390656,109.6075156862953,132.46207548869899
