ds,Most Likely Case,Worst Case,Best Case
2022-12-20,330.0197749474256,314.37163836167923,344.8939567389106
2022-12-21,330.27121110634135,315.32691237170064,347.13118465084244
2022-12-22,330.53032893807506,314.76496296766527,346.3598493002925
2022-12-23,331.08599249031687,316.8691538923307,346.7511399555566
2022-12-24,332.7785403761247,315.3581208885341,348.3187114701671
2022-12-25,333.1451780307694,316.8022703726963,349.22525097485027
2022-12-26,331.99187522840737,316.87415317167086,346.87994124993406
2022-12-27,332.4668582334447,316.22816479317595,347.87125806553456
2022-12-28,332.7945076798149,317.23126560913937,348.7548934333163
2022-12-29,333.1089621667575,318.06523220717105,349.2370347682026
2022-12-30,333.69809764032897,318.9050517711883,349.46945625614114
2022-12-31,335.4017403865181,320.46080116062444,352.3204393760891
2023-01-01,335.757067258075,320.30134735818723,351.63830980638403
2023-01-02,334.5704993175855,319.49688546558735,350.3760791488183
2023-01-03,334.99117842036105,319.14003141154745,350.14313666238195
2023-01-04,335.24483828964753,318.73612909344115,351.5834646609566
2023-01-05,335.46737083039346,319.63306157514563,352.11724291925094
2023-01-06,335.94875878490296,319.72165554788495,352.37324071512415
2023-01-07,337.5312338382182,321.49835338589503,354.348266957094
2023-01-08,337.7546152890264,321.94159491542206,353.89923652337023
2023-01-09,336.4281371322079,321.4923705295368,352.5674937448491
2023-01-10,336.70385486358794,319.89640418124407,353.55855145852297
2023-01-11,336.81044541971494,319.8216906098178,353.03987773729307
2023-01-12,336.88670288076037,321.69801030833503,353.6319356991856
2023-01-13,337.2254028907701,320.4272114399719,351.9711018279257
2023-01-14,338.67139667181266,322.725901764923,355.4329560732507
2023-01-15,338.7668913854403,323.81688812509566,354.8323623890815
2023-01-16,337.32322614914045,321.9199162716669,352.8823022088394
2023-01-17,337.4942362641072,321.2264695864148,353.9291703498612
2023-01-18,337.5100200638469,320.9796218232669,354.5460044488358
2023-01-19,337.51041173278026,322.0773833696431,353.7903931525938
