ds,Most Likely Case,Worst Case,Best Case
2022-12-20,171.78106867211903,163.34033964602696,180.37811146016332
2022-12-21,171.795866490401,163.28163078269026,180.27893331227227
2022-12-22,171.93470653882835,163.72383219280124,180.52669791194393
2022-12-23,172.06495928762598,163.61842443051304,180.666945982563
2022-12-24,170.3300036590741,161.63058543486636,178.2474690681184
2022-12-25,170.48519924130562,161.49952610620198,178.7060336675282
2022-12-26,172.44624408366226,164.0441393560953,181.3412088540469
2022-12-27,172.83314626233837,164.0295838879035,181.34704286171754
2022-12-28,172.87784351966164,164.36149099632595,181.0822233926081
2022-12-29,173.04436444102825,164.87414770146373,181.73049216470002
2022-12-30,173.1998815354541,164.9540004385764,181.9564196993099
2022-12-31,171.48755829811392,162.67183929368773,180.46397837051927
2023-01-01,171.6625183164366,163.72027262344866,180.0513028849447
2023-01-02,173.6402020479691,165.25788183816036,181.41820591401554
2023-01-03,174.04033964257948,165.2479973286629,182.91561252496004
2023-01-04,174.09457420579665,165.31991456918158,182.68254327912845
2023-01-05,174.266628963793,165.88828133754225,182.55043956148904
2023-01-06,174.42336859416858,166.31857442716816,183.47837982745315
2023-01-07,172.70765660144306,164.86401382738995,181.1475833193015
2023-01-08,172.8743365065125,164.58970854199137,182.08551579429323
2023-01-09,174.83860210086036,166.0775633255396,183.5604318741371
2023-01-10,175.2199846865318,166.57482591522898,183.99483858628992
2023-01-11,175.24999118670047,166.89046640125864,183.4777025313859
2023-01-12,175.39228603092576,166.5835381958306,183.8074287786904
2023-01-13,175.51376649656683,167.4340232299154,184.66165457292402
2023-01-14,173.75743279531338,164.34027089245066,182.30416314077712
2023-01-15,173.87838009710802,164.75862321809316,183.4482820673007
2023-01-16,175.79217719825726,166.64675840668812,184.15453742038878
2023-01-17,176.11885926338982,167.28718988738578,184.72135991316475
2023-01-18,176.09056810547852,167.55274869522322,184.69467429700256
2023-01-19,176.17173257538371,167.55570479668802,184.68690952367203
