ds,Most Likely Case,Worst Case,Best Case
2022-12-21,133.14277813682475,120.5932142616817,144.6141076291572
2022-12-22,133.45149342434172,121.09358863023581,145.32158028758238
2022-12-23,133.65840871771465,120.46360234732055,146.75937621838696
2022-12-24,136.00718831664105,123.21757694658444,148.70930725917765
2022-12-25,136.26592139919728,123.2174805851573,148.8392037878659
2022-12-26,134.35442362275546,122.13523077043772,147.27385887365963
2022-12-27,134.61090119519102,121.65446408250209,148.10072605172996
2022-12-28,134.91366731459595,121.46908042659769,147.92885598521596
2022-12-29,135.18109692673895,122.39898913082531,147.88376405232987
2022-12-30,135.3282600402971,122.26126588409726,148.10366509114698
2022-12-31,137.60021704480306,124.56902928034567,150.95562968752765
2023-01-01,137.7668218800944,124.94555921207497,149.81314535385368
2023-01-02,135.7499813426948,122.35038020227577,148.16519113431016
2023-01-03,135.89026902754648,122.91739258902157,149.2289709825595
2023-01-04,136.06858506677185,124.15612377291217,148.6641222005198
2023-01-05,136.20604904355855,123.56318230257608,148.89580768230488
2023-01-06,136.22056787700458,124.32966568965064,149.16844062038237
2023-01-07,138.36006376550344,125.3543815346604,150.89414433133217
2023-01-08,138.39720972369176,124.64134255782905,150.93126285624976
2023-01-09,136.25662268445618,122.796698137278,148.96522429032234
2023-01-10,136.28141430657183,122.40656185119744,149.09360617390783
2023-01-11,136.3547922053951,123.01119113053475,149.6068386429303
2023-01-12,136.3999004142857,123.3917046920765,148.31459786822217
2023-01-13,136.3363421393494,123.53895558101226,149.206772099685
2023-01-14,138.41337096736547,124.94925033911137,151.07268276361918
2023-01-15,138.40459891291732,126.01159183355396,150.31649937910473
2023-01-16,136.2351718853511,122.8341258298495,148.984408022082
2023-01-17,136.24831306924216,123.83150650742515,149.4168414773444
2023-01-18,136.32692702587215,122.87522186044885,148.34590006831877
2023-01-19,136.39345314951584,123.61752634725924,148.0440965634603
2023-01-20,136.36641111092436,124.44427928627142,149.07648664975395
