ds,Most Likely Case,Worst Case,Best Case
2022-12-29,133.3615529232227,119.97226398281798,145.70139179765746
2022-12-30,133.5667578253857,120.16123714550801,147.04926219539286
2022-12-31,134.27432997804877,120.98392095349138,147.27706856137945
2023-01-01,134.51351307723513,121.55500558961579,148.06285444310976
2023-01-02,134.26536738743926,120.91008245955584,147.79707682968632
2023-01-03,134.4247733624776,120.7465591492556,147.34038918942818
2023-01-04,134.69253168146483,121.59779555740677,146.86864829104906
2023-01-05,134.94253268930223,121.22648283865091,146.9128297821608
2023-01-06,135.07231703864247,121.22892785088537,147.34572191059482
2023-01-07,135.6927656976475,122.12848951999732,149.3307467094161
2023-01-08,135.83526328560367,122.62464999777461,149.47290396506682
2023-01-09,135.48318193371165,122.50450201109645,148.23297839739138
2023-01-10,135.53382837131701,121.64948870855427,147.93183552280405
2023-01-11,135.69048508833743,122.5043717236492,148.57091141941805
2023-01-12,135.82952003966344,122.84367176569128,150.05947234040636
2023-01-13,135.8508881797406,122.55260937507897,148.40565315440438
2023-01-14,136.36776445940743,123.31810870645026,150.77855475622104
2023-01-15,136.4136536536007,123.10109732957507,149.3365602743981
2023-01-16,135.97382552671456,122.23956370515641,149.14946118783354
2023-01-17,135.947219215019,122.05125675823768,149.04269947246772
2023-01-18,136.0384486961205,122.792006601011,148.9074487237508
2023-01-19,136.12488464504847,123.80420343922441,149.09527163675375
2023-01-20,136.10713659344307,122.54999313964959,149.18135954706233
2023-01-21,136.59867543153112,123.8652864791489,148.0506535547483
2023-01-22,136.63294179960556,122.97510112886542,150.45468687111145
2023-01-23,136.1947888213495,122.4304718898308,148.83307861324587
2023-01-24,136.18240277458673,122.52472076929442,148.62652457974826
2023-01-25,136.29933306536805,123.85614052384692,148.81608765587927
2023-01-26,136.42160609550012,123.63464202508622,149.43792403854377
2023-01-27,136.44824604519135,123.4210455712718,149.7216053486974
