ds,Most Likely Case,Worst Case,Best Case
2022-12-20,337.6442065764917,316.0834813611431,360.2411817710722
2022-12-21,337.79678132424044,315.4946058435119,360.28423354713675
2022-12-22,337.97963843087524,316.7391562146583,360.5172794172012
2022-12-23,338.30387551055236,316.02476477952865,361.04965016928764
2022-12-24,340.82942110026255,319.2472478974458,362.59463709802594
2022-12-25,341.0474327342993,319.06595029317384,363.36667710168973
2022-12-26,338.9127818364008,317.4643701188435,361.00218783661916
2022-12-27,339.1187012487482,315.082903782702,361.6199214824581
2022-12-28,339.27266981181015,316.24562386501253,361.56146975481414
2022-12-29,339.4328321770444,317.09883365910736,361.4362342558562
2022-12-30,339.7103125166739,318.6652757995721,361.18107184644185
2022-12-31,342.1657128770982,320.0276843627325,364.01611247777197
2023-01-01,342.29149325950254,319.32660320630606,363.8869855551811
2023-01-02,340.0444217315988,317.63769986976456,364.3769236809947
2023-01-03,340.1201713061258,317.63294817633414,362.43720655801303
2023-01-04,340.12913934325246,319.23545773221787,363.487629234111
2023-01-05,340.1327893942197,318.06986843372476,362.27022015848667
2023-01-06,340.2458762304163,317.24670605987205,362.5471024301864
2023-01-07,342.5328471738443,319.9889013803652,363.54885766364146
2023-01-08,342.49011940719004,320.05195877349456,365.9984332467938
2023-01-09,340.07842431740823,317.83507617225706,362.80620632210895
2023-01-10,339.99729843948376,316.7169965156317,359.4287582423155
2023-01-11,339.8607995928958,318.78809523546164,362.05920659117794
2023-01-12,339.73375089134356,318.3974860537033,362.8878772887538
2023-01-13,339.73387598598134,316.4562956529863,362.10195279288934
2023-01-14,341.9281210565019,320.91333857035096,364.66167716733037
2023-01-15,341.81486534404485,317.54839362809633,363.4514218425976
2023-01-16,339.3562130558932,317.2082857322607,363.58186455547116
2023-01-17,339.25244759715883,316.99088533768355,360.7244678352003
2023-01-18,339.11772768610393,315.74788795939986,362.85381696403215
2023-01-19,339.0163285470603,317.43545187311474,360.3774110393999
