ds,Most Likely Case,Worst Case,Best Case
2022-12-29,178.58378891956977,173.286404211222,183.85140957406907
2022-12-30,178.63620927903585,173.39678913126707,183.86059306272944
2022-12-31,178.7181900346182,173.6748014967281,184.00838640345304
2023-01-01,178.7648799489836,173.24321542943068,184.19677563101396
2023-01-02,178.64423266822482,173.06742677809527,183.74531126928807
2023-01-03,178.83048433640909,173.327630449505,184.23641773991753
2023-01-04,178.85869495032028,173.7225899891614,184.14452413500135
2023-01-05,178.93138460252953,173.44682665990698,184.24927587306317
2023-01-06,179.00399598897192,173.85324896123757,184.2555283946977
2023-01-07,179.10523467548683,173.6114383279679,184.50479225933546
2023-01-08,179.16977038411633,173.87429214951558,184.30202136828868
2023-01-09,179.06510234378942,173.71956906982868,184.59495677929695
2023-01-10,179.26504511842174,173.82392957522657,184.4253941561764
2023-01-11,179.30427757922254,174.10372400957706,184.47777436845408
2023-01-12,179.38498606623827,174.02339467986653,184.86633626411756
2023-01-13,179.4623330235343,174.21295153949012,184.60848622900227
2023-01-14,179.5648025220007,174.6615149697801,184.99637166383042
2023-01-15,179.62690586126507,173.96850159202288,184.6054110625014
2023-01-16,179.51605023705739,173.7691747220083,184.61216029938973
2023-01-17,179.7060268396987,174.39579195181074,185.13607091292306
2023-01-18,179.7315610140745,174.45669709927049,184.67172856446567
2023-01-19,179.79495550073213,174.5501797761364,185.01102865409266
2023-01-20,179.85155802843283,174.66426827358706,185.3138995260914
2023-01-21,179.93010466982346,174.53666949830458,185.5349632692378
2023-01-22,179.9654221617094,174.51658190521385,185.36660069138006
2023-01-23,179.82529219930046,174.62778635656832,184.7968752108525
2023-01-24,179.98393410693402,174.80408066482275,185.21207964360644
2023-01-25,179.97654856709002,174.642963972646,185.33547508208514
2023-01-26,180.00595349418245,174.87669080977557,185.5892302192958
2023-01-27,180.0280434063713,174.93758033691682,185.49159107573567
