ds,Most Likely Case,Worst Case,Best Case
2022-12-21,144.8652931476994,130.23755089584643,159.44560891971977
2022-12-22,145.1276075827923,131.30157709299385,159.1109829727904
2022-12-23,145.31982658238914,130.6126626505369,159.96882321219385
2022-12-24,147.34744730277134,132.2128136546543,162.01219786078852
2022-12-25,147.59117022235023,133.73102916648367,161.80858928929024
2022-12-26,146.01475848088177,131.49492536322882,159.94587165324722
2022-12-27,146.3469710382406,132.15778044345632,160.21977555602948
2022-12-28,146.52375234703996,131.61409544853637,160.48571011396203
2022-12-29,146.8476242723763,132.1222794055361,160.97010750680448
2022-12-30,147.07631285315335,133.06397769398737,160.28828727705263
2022-12-31,149.11381810672108,135.9502890181073,164.24860980195157
2023-01-01,149.33994409030888,133.71241579312598,163.8616159362663
2023-01-02,147.7181912248982,133.1404743401877,161.83351266149495
2023-01-03,147.97770679823947,133.3021222045339,161.94929243961184
2023-01-04,148.0554756897191,132.98554605829779,161.80062952226373
2023-01-05,148.2556968253069,133.73496277646754,162.41993446850165
2023-01-06,148.338378167337,133.25842173740375,163.30526504010933
2023-01-07,150.2103590847466,134.71330095745867,164.7992989035911
2023-01-08,150.25477838040268,135.57082644688407,165.53957917529394
2023-01-09,148.43889143808272,134.0860281947499,163.52879562513468
2023-01-10,148.49593422010656,133.0636403939232,163.08726780241443
2023-01-11,148.3672182835448,134.153615772302,163.92873386472505
2023-01-12,148.36140470456138,134.16952302593552,163.5440594632992
2023-01-13,148.2429922906847,133.1778873629698,163.0021414238961
2023-01-14,149.92323162791845,135.44632857049146,163.717796634486
2023-01-15,149.78948599538452,134.6208273082786,163.24700429546198
2023-01-16,147.81294534779505,132.72676187057482,162.04709539095109
2023-01-17,147.7303937433845,134.22218893163628,162.8008638033297
2023-01-18,147.48621687036749,134.12953986921323,163.1835752996184
2023-01-19,147.3915998182803,132.9999211471977,162.71660342463565
2023-01-20,147.21295244288024,132.81777566231253,161.3315248161031
