ds,Most Likely Case,Worst Case,Best Case
2022-12-29,351.8465441739003,340.85167260578817,362.6003198299791
2022-12-30,352.00128553901976,340.7040459326251,362.07863628226477
2022-12-31,352.12716387065143,341.36480933186044,362.2403707435799
2023-01-01,352.2609405528388,341.98899136579263,363.00807937325396
2023-01-02,352.11661386464306,341.02996349073084,362.5162660558031
2023-01-03,352.24898475731356,342.0351464516281,363.00077527858247
2023-01-04,352.6339056720741,342.010697187862,362.775888269346
2023-01-05,352.8336646975607,342.1015149018419,363.60193816256646
2023-01-06,353.01593586002093,343.39354993539007,363.55931572987635
2023-01-07,353.18753654655796,342.9560082492966,363.13007691589803
2023-01-08,353.38330395782646,343.93328556022254,363.44330485587614
2023-01-09,353.31486453355467,342.75778238828485,364.44494650595567
2023-01-10,353.5342686072992,342.7817383149128,363.54437627437545
2023-01-11,354.0143186578282,343.5088240960197,363.9168587762722
2023-01-12,354.314041243444,343.7875329694427,365.08944863737173
2023-01-13,354.59773096343577,344.12983904944764,364.69232189393904
2023-01-14,354.8688048299741,344.7904564809208,365.89643341313484
2023-01-15,355.1587762345598,344.6921531914772,365.5878195428223
2023-01-16,355.1761197206602,344.78025470811417,365.66856913766094
2023-01-17,355.4699961440386,345.45079866283453,366.3234505511058
2023-01-18,356.0106640451547,345.3470795877472,366.62758328299515
2023-01-19,356.3550249801775,346.07551267703155,366.9884332026503
2023-01-20,356.66572908415515,345.80677332039056,367.0062856166875
2023-01-21,356.94507750652895,346.6647262191885,367.05202800802897
2023-01-22,357.22402953684065,347.0086028985085,367.7158493331909
2023-01-23,357.21108468169535,346.78648928862384,367.8165029162455
2023-01-24,357.4560087668736,346.33105066432455,367.7279479351984
2023-01-25,357.93022983917734,346.62056931456544,368.523331932296
2023-01-26,358.1923520246151,347.92355671867205,369.11043083365803
2023-01-27,358.4072144755823,347.04476810221337,369.00788858380764
