ds,Most Likely Case,Worst Case,Best Case
2022-12-29,349.9174564423773,333.46831268427997,367.9303032269036
2022-12-30,350.1794553290411,331.5078265613041,367.85804531580607
2022-12-31,350.2788016436764,332.2674788963729,368.2152796879025
2023-01-01,350.4672313045302,333.03922079507305,368.24386721159146
2023-01-02,350.43014543846374,333.6858260067927,368.1771275451708
2023-01-03,350.68454677427906,331.83178670957653,368.64739207477635
2023-01-04,350.89917934511647,333.63674399815875,369.06207305177077
2023-01-05,351.03279747347267,332.6550083245512,368.79841816453717
2023-01-06,351.1124117423816,334.1792361949882,368.41535781456776
2023-01-07,351.02095635402844,334.67512070252343,368.3718998250629
2023-01-08,351.0144738390121,333.73836058229324,368.58830973407026
2023-01-09,350.78279446629597,333.9938097310446,369.1507063588524
2023-01-10,350.84737251816273,332.0438810323706,368.71815621276255
2023-01-11,350.88132457933534,333.40412236207965,368.9504828701018
2023-01-12,350.8475981671737,333.7397803697359,368.2008128654894
2023-01-13,350.77712075230744,332.2659495593273,368.66205620935904
2023-01-14,350.5563758522496,331.65315687457957,366.8511004766164
2023-01-15,350.4445043221208,331.94791061827146,368.4200812902109
2023-01-16,350.13391017980337,332.4867849966777,368.36758233276396
2023-01-17,350.14803489421246,332.33058550335136,366.84469713336097
2023-01-18,350.1613467831087,332.9432667402267,369.313857015753
2023-01-19,350.1374750398908,331.88606476024245,367.01426274335483
2023-01-20,350.10733929602446,332.68773626085795,367.3965129810468
2023-01-21,349.9567219016366,331.739421462115,367.48160180090684
2023-01-22,349.9433811775685,332.253291440947,368.6633576374284
2023-01-23,349.75768473041006,331.314175069028,368.3982277037982
2023-01-24,349.920426143459,331.22946886350604,366.8634964043369
2023-01-25,350.10287071872705,332.7492597226935,367.41861843351086
2023-01-26,350.26495848576326,332.46529020950015,367.89072060163267
2023-01-27,350.4335137795103,333.38617517435034,367.3324252122921
