ds,Most Likely Case,Worst Case,Best Case
2022-12-29,165.47644412514023,126.44258504575056,201.47131490981872
2022-12-30,165.58930475837803,126.65713809347183,202.33130474728551
2022-12-31,169.19023892441575,134.6162832522173,204.01563914411574
2023-01-01,169.25819389700982,133.70484212004806,208.13385401058756
2023-01-02,165.78524077873698,128.11868488357425,203.28374344599587
2023-01-03,165.87315731004585,130.58498965509182,203.80776135190018
2023-01-04,165.88931836322072,129.2504892548124,203.6357864432603
2023-01-05,165.84481066100645,127.45714850055886,201.65183210448174
2023-01-06,165.8631517786954,130.71722745326738,200.5320165197551
2023-01-07,169.35977530579174,133.68680730158147,206.85368133430103
2023-01-08,169.31459462076268,133.31850527986245,205.67194060946227
2023-01-09,165.72061898181687,127.10659928057575,200.35436215560975
2023-01-10,165.68051944554375,130.44441003253925,202.63557726813835
2023-01-11,165.5625067810407,131.19852505985756,203.20780126555533
2023-01-12,165.37843810665825,128.53836814424787,198.11947062772694
2023-01-13,165.25253231958152,126.89624218742625,199.53054118678685
2023-01-14,168.60085603464591,132.09304264301377,205.58415086478223
2023-01-15,168.40389216513756,132.86688568354344,206.13869223349832
2023-01-16,164.65516438221485,128.90326551602638,201.82882550448733
2023-01-17,164.4578143732791,130.0329788973981,201.83998182285663
2023-01-18,164.18049337482117,127.58888038143586,201.29947965283975
2023-01-19,163.83548394050194,125.79528758532668,197.33305686694993
2023-01-20,163.5474312050275,128.02067599494444,200.43171310528075
2023-01-21,166.73284453646224,131.217214500182,203.74382561667105
2023-01-22,166.37268090349218,132.15913182170428,202.64709524718057
2023-01-23,162.460982434856,126.01357178371381,197.64500733484607
2023-01-24,162.10146440659062,127.3993700872383,197.12317490132062
2023-01-25,161.66341454755494,124.31895476761342,194.73713064884097
2023-01-26,161.15981915971582,125.97486311769259,198.2196975862615
2023-01-27,160.7160949869858,124.99476241442555,197.83807802873233
