ds,Most Likely Case,Worst Case,Best Case
2022-12-29,296.17703045497433,276.0173735614143,316.1866565503589
2022-12-30,296.4249840498422,276.4599456904407,317.3156301263596
2022-12-31,296.97544544623025,277.1497859794351,315.511587938075
2023-01-01,297.1579320044256,275.5267822448696,317.21825487034346
2023-01-02,296.96969600838065,275.861963881575,316.33195246923134
2023-01-03,296.95531570529045,277.19429561357174,315.72997651101
2023-01-04,297.1753860302288,277.5685085446559,316.6633642732683
2023-01-05,297.2758247702314,277.6750847081581,314.8560116393161
2023-01-06,297.3594525423487,277.2053013354838,316.23333109847135
2023-01-07,297.7437452109358,279.06088283955023,318.2875050945766
2023-01-08,297.7622764096203,278.27243691759116,316.82222063247565
2023-01-09,297.4163204516403,277.39595311431776,317.0707642046799
2023-01-10,297.2543429425748,276.93805234228614,317.0982843976599
2023-01-11,297.3405935893787,277.9997972210777,316.91480098359045
2023-01-12,297.3243194748474,277.1151058723921,318.2280836196084
2023-01-13,297.3112595755746,277.74384801095437,317.8508282542441
2023-01-14,297.62132137728935,276.94291325498585,318.04398147501166
2023-01-15,297.5899592470229,276.6219630443646,317.184635881397
2023-01-16,297.2197265516947,277.4454769562573,315.87233183098033
2023-01-17,297.05973020854543,276.6753886486534,316.58296395437327
2023-01-18,297.1742031607995,276.939892336538,315.90219066504716
2023-01-19,297.2117136471612,275.6121196870689,317.75601034108047
2023-01-20,297.27667222553634,277.531655389445,316.43948375785175
2023-01-21,297.68703716347903,277.708392130408,318.53651372209276
2023-01-22,297.775737194698,277.2422835599021,316.2793031723723
2023-01-23,297.5422825682399,277.5810756337468,317.4821121660246
2023-01-24,297.5322916366608,277.83589522964246,317.23629561731
2023-01-25,297.8061466979813,277.23068958850905,317.4912311011653
2023-01-26,298.0082958877194,278.22523695229455,317.13761416364616
2023-01-27,298.2388597689456,277.7897303771609,317.87029004308613
