ds,Most Likely Case,Worst Case,Best Case
2022-12-21,225.0530548949696,194.13852791668162,252.78528545173418
2022-12-22,225.57354399019334,193.32027519415735,255.87490952499016
2022-12-23,225.8583397418085,198.27531988538107,256.6618457028907
2022-12-24,226.8963802347292,196.35566382166493,257.07576206358476
2022-12-25,227.34751169040072,198.08892816303378,258.2633749342117
2022-12-26,227.23464276611628,197.05880729215104,258.4077650990461
2022-12-27,227.69481582859717,193.68721668115947,257.5560473502813
2022-12-28,228.10714334948065,195.32869285933333,258.550802388998
2022-12-29,228.54684164389806,198.95896960044973,259.02761729388254
2022-12-30,228.7012641508885,196.85773213856828,260.20467359455347
2022-12-31,229.56109511734604,199.3288905952882,259.47129237162085
2023-01-01,229.78899769846996,198.77320724590922,259.6402778568494
2023-01-02,229.41172429966767,196.00871984622734,260.43371442723463
2023-01-03,229.57111946842386,196.16003373450752,257.7203359714705
2023-01-04,229.65196462099962,198.2419743522812,261.7731113594512
2023-01-05,229.73589855155456,199.2360459406469,259.6423635399934
2023-01-06,229.5173182061443,199.1266432992416,260.00695482964693
2023-01-07,229.9944233780306,200.2139328897282,259.86719295811804
2023-01-08,229.83770258261785,197.18514984864524,260.8708902711489
2023-01-09,229.08187156006775,198.27940304973663,259.9298076811568
2023-01-10,228.8766986313139,197.07048009358763,257.2821047495532
2023-01-11,228.61467031095606,196.16218371166167,257.6011455817158
2023-01-12,228.38473534562408,198.32079000410593,259.6021368661664
2023-01-13,227.8880358801759,197.66948793983042,259.50640459599316
2023-01-14,228.12879352234518,197.5379086946455,259.6102374009627
2023-01-15,227.78265146877925,196.08665730330569,257.99305066745967
2023-01-16,226.88848773594077,194.64129750787225,258.87493164980225
2023-01-17,226.59913691440534,194.85452041483435,256.3517592352119
2023-01-18,226.30897655605898,196.4729831486557,256.82845487031835
2023-01-19,226.1076185087705,197.87024389197123,258.94959124552264
2023-01-20,225.6956154273646,196.1795231698874,258.56441691794174
