ds,Most Likely Case,Worst Case,Best Case
2022-12-29,181.7125517187515,177.45258942153748,185.93354773449232
2022-12-30,181.7321380996465,177.5236825938639,185.73855099643848
2022-12-31,181.55462440635011,177.09233666078097,185.67788568156914
2023-01-01,181.567903904538,177.2449921696366,185.91290191939558
2023-01-02,181.7538069489207,177.96399034436442,186.29235654098954
2023-01-03,181.80876910065652,177.50751210664995,185.95119805673707
2023-01-04,181.82512938557045,177.46181855948566,186.14147198159893
2023-01-05,181.83238682845433,177.34919906589244,186.25056660625228
2023-01-06,181.87541030085418,177.55904919380478,186.00126631686663
2023-01-07,181.72309035749143,177.43286136177733,186.063663781539
2023-01-08,181.762755283796,177.77496409412495,186.2197785297527
2023-01-09,181.9756526897643,177.33033619242713,186.14825709567202
2023-01-10,182.05762920378203,178.01491130608662,186.30629512062228
2023-01-11,182.1004405510709,177.82451801635727,186.56106719256522
2023-01-12,182.13301988613614,177.84172893323532,186.6732716027901
2023-01-13,182.19969914402964,178.03332556095236,186.43536466783056
2023-01-14,182.068871813132,177.88710237128612,186.56416830877794
2023-01-15,182.12741908668693,178.06684878571383,186.34792564355473
2023-01-16,182.35620047740926,177.96537852053393,186.39163321909314
2023-01-17,182.45074121924273,178.35468345898215,186.2544249436812
2023-01-18,182.5025485393031,178.06850528286873,186.62497761842792
2023-01-19,182.54038450186243,178.2028591513779,186.9779507090895
2023-01-20,182.6084900610252,178.30243104458813,186.92483487917414
2023-01-21,182.47524864052411,178.01474309781992,186.59317455734737
2023-01-22,182.5276111607985,177.91506932569246,186.74485400544063
2023-01-23,182.74658361000883,178.63363645918537,186.94510612515987
2023-01-24,182.82790954568395,179.04090271312057,187.2600519886072
2023-01-25,182.86337972245792,178.66982574694018,187.15814713115162
2023-01-26,182.8820967081231,178.46382775505688,186.81996114646108
2023-01-27,182.9286893297485,178.64341647845941,187.18154872072142
