ds,Most Likely Case,Worst Case,Best Case
2022-12-29,152.8632329491398,147.42178409249559,158.68825191588647
2022-12-30,152.94685397688534,147.23403939828367,158.79122379270535
2022-12-31,153.01007135808615,146.91435829115727,158.69729955885091
2023-01-01,152.99419601237926,147.34253911944043,158.77059571743817
2023-01-02,152.87377162282385,146.9832106200374,158.49724825978527
2023-01-03,152.85744517997912,146.9939126078993,158.43829583394594
2023-01-04,152.79144461702404,146.82166478299308,158.2729435864448
2023-01-05,152.74716680207652,147.33964937305467,158.35768477308946
2023-01-06,152.82241488135642,147.22809808165792,158.52571505313966
2023-01-07,152.87981127897024,147.43236594645586,158.29650241248774
2023-01-08,152.86039179813494,147.3630169159155,158.66561608697504
2023-01-09,152.73844171291816,147.10476503889444,158.00785217508658
2023-01-10,152.72237358031472,147.00660342259675,158.991593454708
2023-01-11,152.6582103546517,147.07126232475122,157.8683183186058
2023-01-12,152.6171769557692,147.01049251480867,158.31628392457785
2023-01-13,152.69693923928494,146.9825697645874,158.57318371563855
2023-01-14,152.76001669858147,147.03254844689718,158.36434273378313
2023-01-15,152.74737443399766,146.9613487471861,158.2277807001784
2023-01-16,152.63325543137103,146.56498045252837,158.1976357508444
2023-01-17,152.62605308892873,146.96972505416466,158.7792173850906
2023-01-18,152.57178783186689,146.67085966003674,158.35553170409693
2023-01-19,152.5416912622573,147.20041006970254,158.3569128285614
2023-01-20,152.6334371172443,146.6778430458235,158.738403543808
2023-01-21,152.70954570714912,147.47525551452105,158.31812866868614
2023-01-22,152.71096771677122,147.31253515002598,158.50731130073916
2023-01-23,152.6119087541316,146.87577030739473,158.0475861077866
2023-01-24,152.62069491085165,146.9157064097766,158.32222250251627
2023-01-25,152.58324347128922,146.62387769953682,158.20987494028046
2023-01-26,152.57064247887195,146.93748140298734,158.55966943506394
2023-01-27,152.68037864818191,147.28157508067682,158.5653285452159
