ds,Most Likely Case,Worst Case,Best Case
2022-12-29,316.0109572457162,277.516997617129,350.9739549905565
2022-12-30,317.08226274142413,278.975807057412,353.4258851065344
2022-12-31,319.5151179601957,278.27456166528043,357.9861982765755
2023-01-01,320.97127947043913,284.69146457568013,356.89686637450933
2023-01-02,322.3582606333173,284.0632646835771,360.5642445872211
2023-01-03,323.094448889634,286.4007494437438,359.5877769091354
2023-01-04,324.46731835419206,284.8003175830216,363.00635266028337
2023-01-05,325.7175056364158,286.3244850998411,361.5801427007507
2023-01-06,326.44184160939716,289.50863477541714,361.9791382838957
2023-01-07,328.41312246185197,291.5339840842421,365.2904159667642
2023-01-08,329.3028726533941,292.4079866490645,366.7200507135354
2023-01-09,330.0306828650473,291.65638110568403,367.8666074438919
2023-01-10,330.0290255594361,293.87675038869287,363.2323640678149
2023-01-11,330.60111468924396,292.10413095941635,370.1487480306049
2023-01-12,331.00458685889134,292.8729888580043,368.4945460679007
2023-01-13,330.8541071715592,296.2764618370767,367.2498068216095
2023-01-14,331.9406944408225,294.82801635170176,369.23092822018964
2023-01-15,331.95403025450616,295.1325021514948,370.8122047762765
2023-01-16,331.83134704621904,296.7019483564522,370.6454018641306
2023-01-17,331.0218097173444,296.76865672794156,369.5025921598685
2023-01-18,330.84396881433827,296.37439309661903,368.18348728467186
2023-01-19,330.56907325646904,292.65588576879236,369.75492913955554
2023-01-20,329.8233554692179,289.7657456448027,366.4467036471249
2023-01-21,330.4070918967975,292.7346454538273,367.5867848743543
2023-01-22,330.0167101234805,290.75434304127174,367.5497745671923
2023-01-23,329.59354276887956,290.94425932578184,367.7847921515381
2023-01-24,328.58814584597934,292.29371058538675,367.2419782525675
2023-01-25,328.3177607899856,291.1729907583385,366.22859291814274
2023-01-26,328.0497073885579,292.39654609774897,365.998911493855
2023-01-27,327.4038177661487,291.07681459856707,362.5106388036224
