ds,Most Likely Case,Worst Case,Best Case
2022-12-21,211.97904916918426,201.55496486576666,222.2402066234196
2022-12-22,212.1412184710083,202.1804555551339,222.78726993042747
2022-12-23,212.3546663291878,201.53865903509563,223.6319794679672
2022-12-24,213.70004156426825,202.8303703076756,224.29652124948151
2022-12-25,213.84422049907693,203.64271302350537,225.09493832781607
2022-12-26,212.57603670061104,202.32512651889513,223.01920738305338
2022-12-27,212.79419346214763,202.03389659711394,223.19804513256116
2022-12-28,212.96131688821376,203.23717199081992,223.70019504632813
2022-12-29,213.1211665462564,202.58685148138125,223.75192787759957
2022-12-30,213.31903300524075,202.50473157238065,223.57756426656803
2022-12-31,214.63566613111513,203.37856867450878,225.0355992649475
2023-01-01,214.7383177713741,204.42605783390857,224.16717993838432
2023-01-02,213.41647092141883,202.50656778869546,224.36252136516126
2023-01-03,213.56974557669744,203.56774808110208,224.17843241635956
2023-01-04,213.6619390858834,202.89806310345494,223.78780245582152
2023-01-05,213.73821806415353,203.01522840883356,224.51583861016675
2023-01-06,213.8454914266437,203.18773402900544,223.9640212041905
2023-01-07,215.06630879594047,204.22416501020086,225.3619401758729
2023-01-08,215.06986843898298,204.75000700845627,225.39565635144882
2023-01-09,213.6477074801787,202.8259909280357,223.91221753894195
2023-01-10,213.7015653678804,203.43094711375215,223.6087847355822
2023-01-11,213.69737928633955,203.18472303003992,224.1281057381394
2023-01-12,213.68242953444107,204.13482235414008,224.76765807594174
2023-01-13,213.70566545772675,202.40293588430595,224.28918657273567
2023-01-14,214.8515572549872,204.83936551062484,225.80964337316573
2023-01-15,214.7910588981376,204.35596292005502,224.99091101021227
2023-01-16,213.31725598536545,202.86448435545694,223.83971870752765
2023-01-17,213.33319054125678,202.99311385341866,223.6604781277049
2023-01-18,213.30582242981185,201.8519904489908,223.4564065382964
2023-01-19,213.2831462870682,202.92951672850387,223.29474268856706
2023-01-20,213.3144953336895,203.51070720254825,224.36770274227922
